,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29
m0,1.0,0.7764747739,0.7825172544,0.7658859491,0.7731142044,0.7601820827,0.7754774094,0.7784965634,0.7817746997,0.7662708759,0.7870096564,0.7940664887,0.7622736692,0.7894676924,0.7650979161,0.7561483383,0.7648878694,0.7735766172,0.7889565825,0.7656826377,0.7856416106,0.7588797212,0.7652703524,0.7707527876,0.7761837244,0.7170071006,0.7690349221,0.790615499,0.7874177098,0.7823618054
m1,0.7764747739,1.0,0.8297306895,0.8404805064,0.8439962864,0.80837816,0.8343403935,0.8602566719,0.8297316432,0.8755183816,0.8378936648,0.8367964029,0.8418858647,0.8609211445,0.8492898345,0.842975378,0.8675357699,0.8498722315,0.8665158153,0.8245096207,0.8341600299,0.8591554761,0.864715457,0.8345319629,0.8591535091,0.7819606662,0.8400307894,0.860758543,0.8392522931,0.8473211527
m2,0.7825172544,0.8297306895,1.0,0.822999537,0.8509516716,0.8161201477,0.8284183145,0.851460278,0.8418118954,0.850117743,0.8417460322,0.8425645232,0.8318271637,0.8457724452,0.8438154459,0.8243763447,0.8568465114,0.856923461,0.8624164462,0.8342969418,0.8501728773,0.8412441611,0.8540693521,0.8278520703,0.8531690836,0.7967146039,0.8437725902,0.8473246098,0.8596158624,0.834389627
m3,0.7658859491,0.8404805064,0.822999537,1.0,0.8486380577,0.8246268034,0.831038475,0.8654012084,0.8386468291,0.8549150825,0.8532137871,0.8677963018,0.8494700193,0.867759347,0.8382279277,0.8515557647,0.8549951911,0.8618917465,0.8751319647,0.8388920426,0.8582053781,0.8598611951,0.8513413668,0.8399342895,0.859414041,0.7911557555,0.8529616594,0.8469870687,0.8459703326,0.8437123895
m4,0.7731142044,0.8439962864,0.8509516716,0.8486380577,1.0,0.8298041224,0.8418076038,0.8584271073,0.8448976278,0.8674147725,0.8554925919,0.851700902,0.8408583999,0.8660271168,0.8450891376,0.8571544886,0.8609719872,0.8711259961,0.8829253912,0.8263190389,0.8517496586,0.8533385992,0.8678048849,0.8382044435,0.8596932888,0.781550169,0.8477561474,0.8516076803,0.8412445188,0.8480436206
m5,0.7601820827,0.80837816,0.8161201477,0.8246268034,0.8298041224,1.0,0.8095526695,0.8421833515,0.8040988445,0.818996191,0.83852005,0.8384389877,0.8292807937,0.8437845707,0.8075247407,0.823030889,0.8247408867,0.8337788582,0.8573975563,0.8080940247,0.8255475163,0.8087030053,0.8113790751,0.8252188563,0.8154783845,0.750838697,0.7982472777,0.8125039339,0.830727756,0.8066234589
m6,0.7754774094,0.8343403935,0.8284183145,0.831038475,0.8418076038,0.8095526695,1.0,0.8465373516,0.8404460549,0.8526411653,0.8264557123,0.8307342529,0.8257594109,0.8401222229,0.8366767168,0.8274118304,0.8527566791,0.8526337147,0.863378644,0.8220179081,0.8489926457,0.8495098948,0.8531153798,0.8291842937,0.8421347141,0.7711094022,0.8426005244,0.8448700309,0.8332809806,0.8325873613
m7,0.7784965634,0.8602566719,0.851460278,0.8654012084,0.8584271073,0.8421833515,0.8465373516,1.0,0.848210454,0.890244782,0.8541321754,0.8904564977,0.8737760782,0.8820688725,0.8623379469,0.8648094535,0.8778093457,0.8706727624,0.8955425024,0.8462712765,0.8811895847,0.8823103309,0.8849083185,0.8534695506,0.8785815239,0.8205251098,0.86029917,0.8656213284,0.869145155,0.8450748324
m8,0.7817746997,0.8297316432,0.8418118954,0.8386468291,0.8448976278,0.8040988445,0.8404460549,0.848210454,1.0,0.8607016206,0.820469141,0.8472627401,0.8353039026,0.8436343074,0.8444182873,0.8250245452,0.8833986521,0.8511270881,0.8624000549,0.8400717378,0.8511480093,0.8531609178,0.875506103,0.8466535211,0.8555327654,0.7996708155,0.8566141129,0.8578944206,0.8473906517,0.8331695795
m9,0.7662708759,0.8755183816,0.850117743,0.8549150825,0.8674147725,0.818996191,0.8526411653,0.890244782,0.8607016206,1.0,0.8484677672,0.8695655465,0.8856731653,0.8930549026,0.8959260583,0.862154603,0.9195803404,0.8874175549,0.9009109735,0.848819375,0.8842794299,0.9079221487,0.9221657515,0.8425642848,0.8954443932,0.8038218021,0.8871444464,0.8832479715,0.8618986011,0.865537703
m10,0.7870096564,0.8378936648,0.8417460322,0.8532137871,0.8554925919,0.83852005,0.8264557123,0.8541321754,0.820469141,0.8484677672,1.0,0.8603354096,0.8478958011,0.8554154038,0.8350358605,0.8546004295,0.8447553515,0.861992836,0.8755287528,0.8312786818,0.8528147936,0.8418469429,0.8460909724,0.8338829875,0.8559393883,0.7836970687,0.8499475718,0.8593558669,0.8488493562,0.8462070823
m11,0.7940664887,0.8367964029,0.8425645232,0.8677963018,0.851700902,0.8384389877,0.8307342529,0.8904564977,0.8472627401,0.8695655465,0.8603354096,1.0,0.8673411012,0.8738737106,0.8474673629,0.8514016271,0.8676422238,0.8701133728,0.8856101036,0.8464342356,0.8702539206,0.8610435724,0.8765320182,0.8452205658,0.8655978441,0.8025606871,0.8660531044,0.8515983224,0.8671221137,0.8501458168
m12,0.7622736692,0.8418858647,0.8318271637,0.8494700193,0.8408583999,0.8292807937,0.8257594109,0.8737760782,0.8353039026,0.8856731653,0.8478958011,0.8673411012,1.0,0.8838549256,0.8575975299,0.8561902642,0.8738130927,0.860055089,0.8837348223,0.8451857567,0.8636163473,0.8605290651,0.8800212741,0.8565241694,0.8592671156,0.7908776999,0.8442617655,0.8423855305,0.8523520827,0.8381974101
m13,0.7894676924,0.8609211445,0.8457724452,0.867759347,0.8660271168,0.8437845707,0.8401222229,0.8820688725,0.8436343074,0.8930549026,0.8554154038,0.8738737106,0.8838549256,1.0,0.8655340672,0.8677732348,0.8817995787,0.8761971593,0.8987131119,0.8483162522,0.8760572076,0.8733609915,0.8821088076,0.8568918705,0.8765710592,0.7941251993,0.8624645472,0.8663128614,0.8618169427,0.858140707
m14,0.7650979161,0.8492898345,0.8438154459,0.8382279277,0.8450891376,0.8075247407,0.8366767168,0.8623379469,0.8444182873,0.8959260583,0.8350358605,0.8474673629,0.8575975299,0.8655340672,1.0,0.8347626925,0.8949644566,0.8810452819,0.881733954,0.8353157043,0.8702630997,0.8763853908,0.8906137943,0.8251255751,0.8783769011,0.7750304937,0.8598305583,0.8556494713,0.84093225,0.8470950127
m15,0.7561483383,0.842975378,0.8243763447,0.8515557647,0.8571544886,0.823030889,0.8274118304,0.8648094535,0.8250245452,0.862154603,0.8546004295,0.8514016271,0.8561902642,0.8677732348,0.8347626925,1.0,0.8559198976,0.8621130586,0.8672436476,0.8368775845,0.8552057743,0.8611918092,0.8592850566,0.8344261646,0.8506557345,0.7865627408,0.8435015678,0.8435319066,0.8397378325,0.8330726027
m16,0.7648878694,0.8675357699,0.8568465114,0.8549951911,0.8609719872,0.8247408867,0.8527566791,0.8778093457,0.8833986521,0.9195803404,0.8447553515,0.8676422238,0.8738130927,0.8817995787,0.8949644566,0.8559198976,1.0,0.8829845786,0.8950733542,0.8627813458,0.8853728771,0.889015317,0.924932003,0.8533471227,0.8892775774,0.8188458681,0.883841455,0.8820978999,0.8683952093,0.8611472845
m17,0.7735766172,0.8498722315,0.856923461,0.8618917465,0.8711259961,0.8337788582,0.8526337147,0.8706727624,0.8511270881,0.8874175549,0.861992836,0.8701133728,0.860055089,0.8761971593,0.8810452819,0.8621130586,0.8829845786,1.0,0.8987768888,0.8478804827,0.8716470003,0.870788455,0.8833982944,0.8469532728,0.8804972768,0.801727891,0.8714742064,0.8607168794,0.8641319275,0.8563512564
m18,0.7889565825,0.8665158153,0.8624164462,0.8751319647,0.8829253912,0.8573975563,0.863378644,0.8955425024,0.8624000549,0.9009109735,0.8755287528,0.8856101036,0.8837348223,0.8987131119,0.881733954,0.8672436476,0.8950733542,0.8987768888,1.0,0.8604610562,0.8918510675,0.8840364814,0.8947446942,0.8615409136,0.8978969455,0.8103864789,0.8788635731,0.8791558743,0.8808423281,0.8740187883
m19,0.7656826377,0.8245096207,0.8342969418,0.8388920426,0.8263190389,0.8080940247,0.8220179081,0.8462712765,0.8400717378,0.848819375,0.8312786818,0.8464342356,0.8451857567,0.8483162522,0.8353157043,0.8368775845,0.8627813458,0.8478804827,0.8604610562,1.0,0.852846086,0.8424129486,0.8612229228,0.8357098103,0.8448194265,0.7948487401,0.8367331624,0.8410353065,0.8544520736,0.8278174996
m20,0.7856416106,0.8341600299,0.8501728773,0.8582053781,0.8517496586,0.8255475163,0.8489926457,0.8811895847,0.8511480093,0.8842794299,0.8528147936,0.8702539206,0.8636163473,0.8760572076,0.8702630997,0.8552057743,0.8853728771,0.8716470003,0.8918510675,0.852846086,1.0,0.8787246943,0.8785281181,0.8382986784,0.8770273328,0.8112799525,0.8731888533,0.8607597351,0.8698436022,0.8540557027
m21,0.7588797212,0.8591554761,0.8412441611,0.8598611951,0.8533385992,0.8087030053,0.8495098948,0.8823103309,0.8531609178,0.9079221487,0.8418469429,0.8610435724,0.8605290651,0.8733609915,0.8763853908,0.8611918092,0.889015317,0.870788455,0.8840364814,0.8424129486,0.8787246943,1.0,0.8982423544,0.837582767,0.8795971274,0.7972877622,0.8711498976,0.8723321557,0.8518271446,0.8501114845
m22,0.7652703524,0.864715457,0.8540693521,0.8513413668,0.8678048849,0.8113790751,0.8531153798,0.8849083185,0.875506103,0.9221657515,0.8460909724,0.8765320182,0.8800212741,0.8821088076,0.8906137943,0.8592850566,0.924932003,0.8833982944,0.8947446942,0.8612229228,0.8785281181,0.8982423544,1.0,0.8503088355,0.8960117698,0.8148009181,0.8857877851,0.8779559731,0.868349731,0.8541379571
m23,0.7707527876,0.8345319629,0.8278520703,0.8399342895,0.8382044435,0.8252188563,0.8291842937,0.8534695506,0.8466535211,0.8425642848,0.8338829875,0.8452205658,0.8565241694,0.8568918705,0.8251255751,0.8344261646,0.8533471227,0.8469532728,0.8615409136,0.8357098103,0.8382986784,0.837582767,0.8503088355,1.0,0.8476471305,0.790945828,0.8292621374,0.8373448849,0.8441932201,0.841804564
m24,0.7761837244,0.8591535091,0.8531690836,0.859414041,0.8596932888,0.8154783845,0.8421347141,0.8785815239,0.8555327654,0.8954443932,0.8559393883,0.8655978441,0.8592671156,0.8765710592,0.8783769011,0.8506557345,0.8892775774,0.8804972768,0.8978969455,0.8448194265,0.8770273328,0.8795971274,0.8960117698,0.8476471305,1.0,0.8080037832,0.8792895079,0.8718039989,0.8585368991,0.8488208652
m25,0.7170071006,0.7819606662,0.7967146039,0.7911557555,0.781550169,0.750838697,0.7711094022,0.8205251098,0.7996708155,0.8038218021,0.7836970687,0.8025606871,0.7908776999,0.7941251993,0.7750304937,0.7865627408,0.8188458681,0.801727891,0.8103864789,0.7948487401,0.8112799525,0.7972877622,0.8148009181,0.790945828,0.8080037832,1.0,0.8023720384,0.8025721908,0.8066067696,0.772972405
m26,0.7690349221,0.8400307894,0.8437725902,0.8529616594,0.8477561474,0.7982472777,0.8426005244,0.86029917,0.8566141129,0.8871444464,0.8499475718,0.8660531044,0.8442617655,0.8624645472,0.8598305583,0.8435015678,0.883841455,0.8714742064,0.8788635731,0.8367331624,0.8731888533,0.8711498976,0.8857877851,0.8292621374,0.8792895079,0.8023720384,1.0,0.8627750278,0.8525166512,0.8522362709
m27,0.790615499,0.860758543,0.8473246098,0.8469870687,0.8516076803,0.8125039339,0.8448700309,0.8656213284,0.8578944206,0.8832479715,0.8593558669,0.8515983224,0.8423855305,0.8663128614,0.8556494713,0.8435319066,0.8820978999,0.8607168794,0.8791558743,0.8410353065,0.8607597351,0.8723321557,0.8779559731,0.8373448849,0.8718039989,0.8025721908,0.8627750278,1.0,0.8490409255,0.848551929
m28,0.7874177098,0.8392522931,0.8596158624,0.8459703326,0.8412445188,0.830727756,0.8332809806,0.869145155,0.8473906517,0.8618986011,0.8488493562,0.8671221137,0.8523520827,0.8618169427,0.84093225,0.8397378325,0.8683952093,0.8641319275,0.8808423281,0.8544520736,0.8698436022,0.8518271446,0.868349731,0.8441932201,0.8585368991,0.8066067696,0.8525166512,0.8490409255,1.0,0.8432064652
m29,0.7823618054,0.8473211527,0.834389627,0.8437123895,0.8480436206,0.8066234589,0.8325873613,0.8450748324,0.8331695795,0.865537703,0.8462070823,0.8501458168,0.8381974101,0.858140707,0.8470950127,0.8330726027,0.8611472845,0.8563512564,0.8740187883,0.8278174996,0.8540557027,0.8501114845,0.8541379571,0.841804564,0.8488208652,0.772972405,0.8522362709,0.848551929,0.8432064652,1.0
